Quest ID,NPC ID,Talk ID ,NPC Name,Context,Sprite Name,comment
0,1000,1000,SeeHarb,참 평화로운 마을이지 시하브,SeeHarb0,시하브 기본멘트
,1000,,,시하브 기본멘트 중,SeeHarb0,
,,end,,,,
0,2000,2000,Renana,참 평화로운 마을이지 레나나,SeeHarb0,레나나 기본멘트
,,end,,,,
0,10000,10000,SeeHarb,우리집에 어서와 시하브,SeeHarb0,시하브집 기본멘트
0,100,100,Shell,(소라고동을 주웠다!),nope,
end,,end,,,,
,,,,,,
10,1000,1010,Seeharb,정신이 들었니?,SeeHarb0,마을대화~시하브집대화
10,10,,Player,이곳은...,Player0,
10,1000,,Seeharb,이곳은 아틀란티스. 바다가 허락한 자들에게 내어진 작은 마을이란다.,SeeHarb1,
10,1000,,,우리는 너를 기다리고 있었어. 자 어서 일어나렴' 우선 우리 집으로 안내해줄게.,SeeHarb0,
,,end,,,,
11,10000,10011,Seeharb,마시렴. 체력을 회복해주는 아이템이란다.,SeeHarb0,
,10000,,,(체력 회복 아이템을 손에 넣었다!),SeeHarb0,
,10000,,,체력 회복 아이템은 인벤토리를 들어가서 클릭하면 먹어질거야.,SeeHarb0,
,10000,,,이곳의 마을 주민들을 만나보지 않을래? 너가 궁금해하는 것들이 조금은 해소가 될 거야.,SeeHarb0,
end,,end,,,,
,,,,,,
20,3000,3020,Tanua,오 안녕' 이제야 왔구나! 환영해 이곳은 우리의 천국 아틀란티스야!,SeeHarb0,타누아대화~시첼라대화
,3000,,,많은 것들이 궁금하지? 하지만 그건 차차 알아가자고! ,SeeHarb0,
,3000,,,우선은 마을 사람들과 함께 인사라도 나눠! 아 그리고 이건 선물이야! 맛있게 먹어!,SeeHarb0,
,3000,,,(체력 회복 아이템을 받았다.),SeeHarb0,
end,,end,,,,
30,5000,5030,Girl,분수대에 집 열쇠를 빠트려버렸어.. 어쩌지?,SeeHarb0,
,5000,,,낚싯대 같은 게 있으면 빨리 꺼낼 수 있을 텐데..,SeeHarb0,
end,,end,,,,
40,200,240,FishingRod,잠시 빌려써도 되겠지?,nope,시하브집에서낚싯대발견
end,,end,,,,
50,5000,5050,Girl,감사합니다. 덕분에 오빠한테 혼날 일은 면했어요.,SeeHarb0,
,5000,,,반짝이는 거 좋아하시나요?,SeeHarb0,
end,,end,,,,
